modelo_equipamento,num_série_equipamento,Quant,des_nome_equipamento,des_categoria,num_potencia,des_potencia,Marca,Id_sala,Setor,num_andar,des_nome_generico_equipamento,idade_equipamento,observ,responsável pela contagem,,,,,,,,,,,,,,,,,
,,7,CPU DELL,Informática,180,W,DELL,JORNAL,SECOM,8,CPU,,,CONTAGEM ERICK,,,,,,,,,,,,,,,,,
,,8,MONITOR DELL 23 POLEGADAS P2317H,Informática,14.8,W,DELL,JORNAL,SECOM,8,Computador,,,CONTAGEM ERICK,,,,,,,,,,,,,,,,,
,,4,LÂMPADA TUBULAR FLUORESCENTE,Iluminação,30,W,GENÉRICO,JORNAL,SECOM,8,Lâmpadas,,,CONTAGEM ERICK,,,,,,,,,,,,,,,,,
,,1,AR CONDICIONADO KOMECO 9000 BTUS,Climatização,9000,BTU,KOMECO,JORNAL,SECOM,8,Ar Condicionado,,,CONTAGEM ERICK,,,,,,,,,,,,,,,,,
,,8,LÂMPADA TUBULAR FLUORESCENTE,Iluminação,30,W,GENÉRICO,RECEPÇÃO,SECOM,8,Lâmpadas,,,CONTAGEM VICTÓRIA,,,,,,,,,,,,,,,,,
,,1,Trituradora de papel,Informática,200,W,Aurora,RECEPÇÃO,SECOM,8,Triturador,,,CONTAGEM VICTÓRIA,,,,,,,,,,,,,,,,,
,,1,Telefone fixo/ramal,Outros,30,W,Aastra,RECEPÇÃO,SECOM,8,Ramal,,,CONTAGEM VICTÓRIA,,,,,,,,,,,,,,,,,
,,1,Ar condicionado,Climatização,9000,BTU,Elgin,RECEPÇÃO,SECOM,8,Ar Condicionado,,,CONTAGEM VICTÓRIA,,,,,,,,,,,,,,,,,
,,1,Computador,Informática,250,W,DATEN,RECEPÇÃO,SECOM,8,Computador,,,CONTAGEM VICTÓRIA,,,,,,,,,,,,,,,,,
,,1,Monitor,Informática,27,W,DATEN,RECEPÇÃO,SECOM,8,Computador,,,CONTAGEM VICTÓRIA,,,,,,,,,,,,,,,,,
,,1,Monitor,Informática,26,W,HP,RECEPÇÃO,SECOM,8,Computador,,,CONTAGEM VICTÓRIA,,,,,,,,,,,,,,,,,
,,1,Computador,Informática,90,W,Lenovo,RECEPÇÃO,SECOM,8,Computador,,,CONTAGEM VICTÓRIA,,,,,,,,,,,,,,,,,
,,9,LÂMPADA TUBULAR FLUORESCENTE,Iluminação,30,W,GENÉRICO,NÚCLEO DE COMUNICAÇÃO ESTRATÉGICA,SECOM,8,Lâmpadas,,,CONTAGEM VICTÓRIA,,,,,,,,,,,,,,,,,
DC4D-S,,3,Computador,Informática,250,W,DATEN,NÚCLEO DE COMUNICAÇÃO ESTRATÉGICA,SECOM,8,Computador,,,CONTAGEM VICTÓRIA,,,,,,,,,,,,,,,,,
Hp I5 Compaq Elite 8200,,1,Computador,Informática,240,W,HP,NÚCLEO DE COMUNICAÇÃO ESTRATÉGICA,SECOM,8,Computador,,,CONTAGEM VICTÓRIA,,,,,,,,,,,,,,,,,
Daten DM270,,3,Monitor,Informática,27,W,DATEN,NÚCLEO DE COMUNICAÇÃO ESTRATÉGICA,SECOM,8,Computador,,,CONTAGEM VICTÓRIA,,,,,,,,,,,,,,,,,
"Monitor 19"" HP LA1905WG",,1,Monitor,Informática,26,W,HP,NÚCLEO DE COMUNICAÇÃO ESTRATÉGICA,SECOM,8,Computador,,,CONTAGEM VICTÓRIA,,,,,,,,,,,,,,,,,
,,1,Ar condicionado,Climatização,9000,BTU,ELECTROLUX,NÚCLEO DE COMUNICAÇÃO ESTRATÉGICA,SECOM,8,Ar Condicionado,,,CONTAGEM VICTÓRIA,,,,,,,,,,,,,,,,,
GJC10AA-D6MNB,02TI200608,1,"AR CONDICIONADO DE JANELA, 10000 BTUS, FRIO",Climatização,10000,BTU,Gree,SALA 1,SECOM,8,Ar Condicionado,12,,CONTAGEM NICOLE,,,,,,,,,,,,,,,,,
D19C3,17695001-01,1,"Monitor DATEN, 19 polegadas, HDMI/VGA",Informática,25,w,DATEN,SALA 2,SECOM,8,Computador,5,,CONTAGEM NICOLE,,,,,,,,,,,,,,,,,
DC5A-S,DAT-0012345,1,COMPUTADOR DESKTOP DATEN,Informática,350,w,DATEN,SALA 3,SECOM,8,Computador,3,,CONTAGEM NICOLE,,,,,,,,,,,,,,,,,
E2011P-BN (L200hx),BRG33504B5,1,Monitor LED HP E2011P-BN,Informática,20,W,HP,SALA 4,SECOM,8,Computador,12,,CONTAGEM NICOLE,,,,,,,,,,,,,,,,,
LÂMPADA TUBULAR,,4,LÂMPADA TUBULAR FLUORESCENTE,Iluminação,30,W,GENÉRICO,SALA 5,SECOM,8,Lâmpadas,,,CONTAGEM NICOLE,,,,,,,,,,,,,,,,,
OptiPlex 3060,C5R9YR2,1,Computador Desktop Dell OptiPlex,Informática,260,W,DELL,SALA 5,SECOM,8,Computador,7,,CONTAGEM NICOLE,,,,,,,,,,,,,,,,,
OptiPlex 3050 Micro,GBYFM2,1,Computador Desktop Dell OptiPlex Micro,Informática,65,w,DELL,SECRETÁRIO,SECOM,8,Computador,8,,CONTAGEM NICOLE,,,,,,,,,,,,,,,,,
LA2205wg,,1,Monitor LCD HP LA2205wg,Informática,22,W,HP,SECRETÁRIO,SECOM,8,Computador,15,,CONTAGEM NICOLE,,,,,,,,,,,,,,,,,
VI12F/VE12F,ELX-201905001,1,"R CONDICIONADO SPLIT ELECTROLUX, 12000 BTUS, SÓ FRIO",Climatização,12000,BTU,ELECTROLUX,SECRETÁRIO,SECOM,8,Ar Condicionado,6,,CONTAGEM NICOLE,,,,,,,,,,,,,,,,,
,511RAH980054,1,Smart TV LG 85 polegadas 4K,Eletrodoméstico,300,W,LG,SECRETÁRIO,SECOM,8,Televisão,2,,CONTAGEM NICOLE,,,,,,,,,,,,,,,,,
LÂMPADA TUBULAR,,8,LÂMPADA TUBULAR FLUORESCENTE,Iluminação,30,W,GENÉRICO,SECRETÁRIO,SECOM,8,Lâmpadas,,,CONTAGEM NICOLE,,,,,,,,,,,,,,,,,
,,1,MICROONDAS PHILCO PMS22N3,Eletrodoméstico,1200,W,PHILCO,COPA SECOM,SECOM,8,Microondas,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,1,TORRADEIRA ULTRA,Eletrodoméstico,750,W,ULTRA,COPA SECOM,SECOM,8,Torradeira,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,2,CAFETEIRA OSTER,Eletrodoméstico,750,W,OSTER,COPA SECOM,SECOM,8,Cafeteira,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
bch02pi,,1,CHALEIRA ELÉTRICA bch02pi,Eletrodoméstico,1150,W,BRITÂNIA,COPA SECOM,SECOM,8,Chaleira Elétrica,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,1,FRIGOBAR CONSUL 120L,Eletrodoméstico,80,W,CONSUL,COPA SECOM,SECOM,8,Frigobar,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,2,LÂMPADA TUBULAR FLUORESCENTE,Iluminação,30,W,GENÉRICO,COPA SECOM,SECOM,8,Lâmpadas,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,5,MONITOR DATEN DM270,Informática,27,W,DATEN,ASSESSORIA DE IMPRENSA,SECOM,8,Computador,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
